START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,BOUT_TYPE,STEP,DUT
1626188400000,1626188700000,UTC+0900,2021-07-14 00:00:00,2021-07-14 00:05:00,50.0,129.0,BOTH,89.5,5
1626189240000,1626189300000,UTC+0900,2021-07-14 00:14:00,2021-07-14 00:15:00,0.0,12.0,WEARABLE_ONLY,12.0,1
1626193740000,1626193860000,UTC+0900,2021-07-14 01:29:00,2021-07-14 01:31:00,52.0,42.0,BOTH,47.0,2
1626194520000,1626194580000,UTC+0900,2021-07-14 01:42:00,2021-07-14 01:43:00,0.0,9.0,WEARABLE_ONLY,9.0,1
1626194640000,1626194760000,UTC+0900,2021-07-14 01:44:00,2021-07-14 01:46:00,0.0,15.0,WEARABLE_ONLY,15.0,2
1626194880000,1626195000000,UTC+0900,2021-07-14 01:48:00,2021-07-14 01:50:00,23.0,54.0,BOTH,38.5,2
1626195840000,1626195900000,UTC+0900,2021-07-14 02:04:00,2021-07-14 02:05:00,0.0,21.0,WEARABLE_ONLY,21.0,1
1626196080000,1626196200000,UTC+0900,2021-07-14 02:08:00,2021-07-14 02:10:00,12.0,1.0,BOTH,6.5,2
1626202260000,1626202320000,UTC+0900,2021-07-14 03:51:00,2021-07-14 03:52:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1626203820000,1626203880000,UTC+0900,2021-07-14 04:17:00,2021-07-14 04:18:00,0.0,3.0,WEARABLE_ONLY,3.0,1
1626204120000,1626204180000,UTC+0900,2021-07-14 04:22:00,2021-07-14 04:23:00,0.0,7.0,WEARABLE_ONLY,7.0,1
1626206400000,1626206460000,UTC+0900,2021-07-14 05:00:00,2021-07-14 05:01:00,0.0,13.0,WEARABLE_ONLY,13.0,1
1626206640000,1626206700000,UTC+0900,2021-07-14 05:04:00,2021-07-14 05:05:00,0.0,6.0,WEARABLE_ONLY,6.0,1
1626206820000,1626207000000,UTC+0900,2021-07-14 05:07:00,2021-07-14 05:10:00,0.0,102.0,WEARABLE_ONLY,102.0,3
1626207600000,1626207660000,UTC+0900,2021-07-14 05:20:00,2021-07-14 05:21:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1626207780000,1626207840000,UTC+0900,2021-07-14 05:23:00,2021-07-14 05:24:00,0.0,16.0,WEARABLE_ONLY,16.0,1
1626207960000,1626208140000,UTC+0900,2021-07-14 05:26:00,2021-07-14 05:29:00,0.0,51.0,WEARABLE_ONLY,51.0,3
1626208440000,1626208680000,UTC+0900,2021-07-14 05:34:00,2021-07-14 05:38:00,0.0,66.0,WEARABLE_ONLY,66.0,4
1626208800000,1626208920000,UTC+0900,2021-07-14 05:40:00,2021-07-14 05:42:00,0.0,26.0,WEARABLE_ONLY,26.0,2
1626208980000,1626209700000,UTC+0900,2021-07-14 05:43:00,2021-07-14 05:55:00,617.0,587.0,BOTH,602.0,12
1626210120000,1626210180000,UTC+0900,2021-07-14 06:02:00,2021-07-14 06:03:00,0.0,13.0,WEARABLE_ONLY,13.0,1
1626210300000,1626210420000,UTC+0900,2021-07-14 06:05:00,2021-07-14 06:07:00,46.0,39.0,BOTH,42.5,2
1626210540000,1626211020000,UTC+0900,2021-07-14 06:09:00,2021-07-14 06:17:00,578.0,568.0,BOTH,573.0,8
1626211500000,1626211620000,UTC+0900,2021-07-14 06:25:00,2021-07-14 06:27:00,156.0,154.0,BOTH,155.0,2
1626213120000,1626213180000,UTC+0900,2021-07-14 06:52:00,2021-07-14 06:53:00,21.0,0.0,PHONE_ONLY,21.0,1
1626213240000,1626213420000,UTC+0900,2021-07-14 06:54:00,2021-07-14 06:57:00,195.0,191.0,BOTH,193.0,3
1626213600000,1626213720000,UTC+0900,2021-07-14 07:00:00,2021-07-14 07:02:00,94.0,67.0,BOTH,80.5,2
1626213900000,1626214200000,UTC+0900,2021-07-14 07:05:00,2021-07-14 07:10:00,122.0,107.0,BOTH,114.5,5
1626214380000,1626214440000,UTC+0900,2021-07-14 07:13:00,2021-07-14 07:14:00,9.0,0.0,PHONE_ONLY,9.0,1
1626214500000,1626214560000,UTC+0900,2021-07-14 07:15:00,2021-07-14 07:16:00,18.0,0.0,PHONE_ONLY,18.0,1
1626224340000,1626224400000,UTC+0900,2021-07-14 09:59:00,2021-07-14 10:00:00,0.0,13.0,WEARABLE_ONLY,13.0,1
1626230040000,1626230340000,UTC+0900,2021-07-14 11:34:00,2021-07-14 11:39:00,326.0,282.0,BOTH,304.0,5
1626230400000,1626230700000,UTC+0900,2021-07-14 11:40:00,2021-07-14 11:45:00,292.0,284.0,BOTH,288.0,5
1626231000000,1626231420000,UTC+0900,2021-07-14 11:50:00,2021-07-14 11:57:00,177.0,77.0,BOTH,127.0,7
1626231540000,1626231600000,UTC+0900,2021-07-14 11:59:00,2021-07-14 12:00:00,23.0,0.0,PHONE_ONLY,23.0,1
1626231660000,1626231960000,UTC+0900,2021-07-14 12:01:00,2021-07-14 12:06:00,59.0,23.0,BOTH,41.0,5
1626232200000,1626232260000,UTC+0900,2021-07-14 12:10:00,2021-07-14 12:11:00,0.0,8.0,WEARABLE_ONLY,8.0,1
