START,UTC,READABLE_START,PHONE_STEP,WEARABLE_STEP
1648257120000,UTC+0900,2022-03-26 10:12:00,12.0,0.0
1648264500000,UTC+0900,2022-03-26 12:15:00,10.0,0.0
1648264560000,UTC+0900,2022-03-26 12:16:00,13.0,0.0
1648264620000,UTC+0900,2022-03-26 12:17:00,7.0,0.0
1648264680000,UTC+0900,2022-03-26 12:18:00,39.0,0.0
1648265520000,UTC+0900,2022-03-26 12:32:00,14.0,0.0
1648265580000,UTC+0900,2022-03-26 12:33:00,24.0,0.0
1648265700000,UTC+0900,2022-03-26 12:35:00,9.0,0.0
1648265820000,UTC+0900,2022-03-26 12:37:00,17.0,0.0
1648266600000,UTC+0900,2022-03-26 12:50:00,32.0,0.0
1648266660000,UTC+0900,2022-03-26 12:51:00,82.0,0.0
1648266720000,UTC+0900,2022-03-26 12:52:00,100.0,0.0
1648266780000,UTC+0900,2022-03-26 12:53:00,36.0,0.0
1648266840000,UTC+0900,2022-03-26 12:54:00,33.0,0.0
1648266900000,UTC+0900,2022-03-26 12:55:00,106.0,0.0
1648266960000,UTC+0900,2022-03-26 12:56:00,58.0,0.0
1648267020000,UTC+0900,2022-03-26 12:57:00,7.0,0.0
1648269300000,UTC+0900,2022-03-26 13:35:00,33.0,0.0
1648269360000,UTC+0900,2022-03-26 13:36:00,42.0,0.0
1648269420000,UTC+0900,2022-03-26 13:37:00,93.0,0.0
1648269540000,UTC+0900,2022-03-26 13:39:00,7.0,0.0
1648269720000,UTC+0900,2022-03-26 13:42:00,100.0,0.0
1648269780000,UTC+0900,2022-03-26 13:43:00,66.0,0.0
1648269840000,UTC+0900,2022-03-26 13:44:00,105.0,0.0
1648269900000,UTC+0900,2022-03-26 13:45:00,113.0,0.0
1648269960000,UTC+0900,2022-03-26 13:46:00,7.0,0.0
1648270020000,UTC+0900,2022-03-26 13:47:00,47.0,0.0
1648270140000,UTC+0900,2022-03-26 13:49:00,7.0,0.0
1648270260000,UTC+0900,2022-03-26 13:51:00,84.0,0.0
1648270320000,UTC+0900,2022-03-26 13:52:00,34.0,0.0
1648270920000,UTC+0900,2022-03-26 14:02:00,71.0,0.0
