START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1635088440000,1635088500000,UTC+0900,2021-10-25 00:14:00,2021-10-25 00:15:00,15,0,15,1.2848302,8724,11.21,0.65000004,EBgToqOjHL,PHONE
1635089880000,1635089940000,UTC+0900,2021-10-25 00:38:00,2021-10-25 00:39:00,22,0,22,1.3588604,12348,16.779999,0.98000014,EBgToqOjHL,PHONE
1635089940000,1635090000000,UTC+0900,2021-10-25 00:39:00,2021-10-25 00:40:00,12,0,12,0.9690476,8833,8.560001,0.6000001,EBgToqOjHL,PHONE
1635090540000,1635090600000,UTC+0900,2021-10-25 00:49:00,2021-10-25 00:50:00,7,0,7,1.0515821,4897,5.1499996,0.34,EBgToqOjHL,PHONE
1635090600000,1635090660000,UTC+0900,2021-10-25 00:50:00,2021-10-25 00:51:00,26,0,26,1.163184,16661,19.38,1.2599999,EBgToqOjHL,PHONE
1635090660000,1635090720000,UTC+0900,2021-10-25 00:51:00,2021-10-25 00:52:00,7,0,7,0.9166667,5400,4.95,0.35000002,EBgToqOjHL,PHONE
1635111900000,1635111960000,UTC+0900,2021-10-25 06:45:00,2021-10-25 06:46:00,24,0,24,1.0904537,15543,16.95,1.12,PBMF001oNL,WEARABLE
1635111960000,1635112020000,UTC+0900,2021-10-25 06:46:00,2021-10-25 06:47:00,22,0,22,0.9166667,16069,14.73,1.23,PBMF001oNL,WEARABLE
1635112080000,1635112140000,UTC+0900,2021-10-25 06:48:00,2021-10-25 06:49:00,79,0,79,1.3306974,43624,58.051094,3.7100196,PBMF001oNL,WEARABLE
1635112140000,1635112200000,UTC+0900,2021-10-25 06:49:00,2021-10-25 06:50:00,72,0,72,1.3611112,39504,53.77,3.12,PBMF001oNL,WEARABLE
1635112200000,1635112260000,UTC+0900,2021-10-25 06:50:00,2021-10-25 06:51:00,11,0,11,1.4564725,5669,8.2578125,0.55029297,PBMF001oNL,WEARABLE
1635112260000,1635112320000,UTC+0900,2021-10-25 06:51:00,2021-10-25 06:52:00,41,0,41,1.4404579,21250,30.61,2.02,PBMF001oNL,WEARABLE
1635112380000,1635112440000,UTC+0900,2021-10-25 06:53:00,2021-10-25 06:54:00,57,0,57,1.3124245,32878,43.15,2.7599998,EBgToqOjHL,PHONE
1635112380000,1635112440000,UTC+0900,2021-10-25 06:53:00,2021-10-25 06:54:00,64,0,64,1.3068287,35811,46.8,2.8999999,PBMF001oNL,WEARABLE
1635112440000,1635112500000,UTC+0900,2021-10-25 06:54:00,2021-10-25 06:55:00,2,0,2,1.4025255,1078,1.5124991,0.079980575,PBMF001oNL,WEARABLE
1635113040000,1635113100000,UTC+0900,2021-10-25 07:04:00,2021-10-25 07:05:00,50,0,50,1.2777778,28706,36.68,2.33,PBMF001oNL,WEARABLE
1635113040000,1635113100000,UTC+0900,2021-10-25 07:04:00,2021-10-25 07:05:00,35,0,35,1.1817006,21680,25.619999,1.7299998,EBgToqOjHL,PHONE
1635113100000,1635113160000,UTC+0900,2021-10-25 07:05:00,2021-10-25 07:06:00,12,0,12,1.3333334,6674,8.9,0.54,PBMF001oNL,WEARABLE
1635113160000,1635113220000,UTC+0900,2021-10-25 07:06:00,2021-10-25 07:07:00,11,0,11,0.8333333,8676,7.23,0.58,PBMF001oNL,WEARABLE
1635113220000,1635113280000,UTC+0900,2021-10-25 07:07:00,2021-10-25 07:08:00,45,0,45,1.0636406,29964,31.871094,2.020205,PBMF001oNL,WEARABLE
1635113220000,1635113280000,UTC+0900,2021-10-25 07:07:00,2021-10-25 07:08:00,25,0,25,1.6388888,11617,19.04,1.22,EBgToqOjHL,PHONE
1635113280000,1635113340000,UTC+0900,2021-10-25 07:08:00,2021-10-25 07:09:00,71,0,71,1.25,41048,51.31,3.23,PBMF001oNL,WEARABLE
1635113280000,1635113340000,UTC+0900,2021-10-25 07:08:00,2021-10-25 07:09:00,67,0,67,1.25,40192,50.24,3.33,EBgToqOjHL,PHONE
