UID,DEVICE_UUID,TYPE,MODEL
P002,KnuGdWBX+i,PHONE,SM-G991N
P002,3VDYxdUcZN,PHONE,SM-G965N
P002,F/ziIyZ5WQ,WEARABLE,Galaxy Watch
P003,pWXebulfA1,PHONE,SM-A716S
P003,7VZ0JIy3qr,WEARABLE,Galaxy Watch4
P003,45EXTzEHGP,PHONE,SM-T733
P004,Bnw0HMQytG,PHONE,SM-N986N
P004,p2FY5OOHQZ,WEARABLE,Galaxy Watch
P004,I58GzujEZY,PHONE,SM-N976N
P005,75hpJIeXeQ,PHONE,SM-N986N
P005,hqwNIeyDwH,WEARABLE,Gear Fit2
P005,qfKMHBW3i9,WEARABLE,Galaxy Watch4
P006,neHA12BZrW,PHONE,SM-N986N
P006,0rbJQajGFM,WEARABLE,Galaxy Fit2
P007,ObGwGYoUff,PHONE,SM-F711N
P007,3YnTJXGaCZ,PHONE,SM-N976N
P007,NegErdYdgg,WEARABLE,Gear S3
P008,ROQme73op8,PHONE,SM-N971N
P008,yfw4CH5TGJ,WEARABLE,Galaxy Fit2
P008,UCqVBPiM+1,WEARABLE,Galaxy Watch4
P010,/g+8iWp2oU,PHONE,SM-N971N
P010,aGdvdKN03t,WEARABLE,Galaxy Watch4
P012,2EO044cO0Z,PHONE,SM-N976N
P012,p8HgOD5fkL,WEARABLE,Galaxy Watch4 Classic
P012,HmTEpu3zfV,WEARABLE,Galaxy Watch4 Classic
P013,yvnLQpR7nw,PHONE,SM-N986N
P013,LguJEK3j13,WEARABLE,Galaxy Watch3
P014,/LC9lOpk6Y,PHONE,SM-G991N
P014,JEF1fxTUK0,PHONE,SM-G887N
P014,Lkfs1yie6S,WEARABLE,Galaxy Watch Active2
P015,JEF1fxTUK0,PHONE,SM-G887N
P015,Lkfs1yie6S,WEARABLE,Galaxy Watch Active2
P016,5tadVpM7W0,PHONE,SM-G977N
P016,POl12gmXOR,WEARABLE,Galaxy Fit2
P017,sRwJ6hSvcm,PHONE,SM-N986N
P017,oLRU1+0EDZ,WEARABLE,Galaxy Watch
P019,DIMwWxASW7,PHONE,SM-G998N
P019,XVxNQ/eDPG,WEARABLE,Galaxy Watch4
P021,iFRqmL+Cl4,PHONE,SM-G975N
P021,iWQFQbCoW5,WEARABLE,Galaxy Watch
P022,D/c1KsOvpx,PHONE,SM-G986N
P022,UmWC6N5uHD,WEARABLE,Galaxy Watch Active2
P023,ylwaFgjh59,PHONE,SM-N976N
P023,JSx5mPAfRC,WEARABLE,Galaxy Watch Active2
P024,7psvO1ePwO,PHONE,SM-G991N
P024,Z5ZWt/TEce,WEARABLE,Galaxy Watch4
P026,lzX3k0xk/g,PHONE,SM-F907N
P026,ceS2uOB946,WEARABLE,Galaxy Watch4 Classic
P027,lfJhTQAzQh,PHONE,SM-N960N
P027,Z/k9lFuEE7,WEARABLE,Galaxy Watch4 Classic
P027,IKN/MVfA8q,WEARABLE,Galaxy Fit2
P028,QNhNZVkuJv,PHONE,SM-N986N
P028,LqYnT0Xs6A,WEARABLE,Galaxy Watch4
P029,rk0l0a2JRI,PHONE,SM-G998N
P029,aJuc/IZ1ii,WEARABLE,Galaxy Watch4 Classic
P030,P0HbMFp5HK,PHONE,SM-G960N
P030,+5auwrrV4G,WEARABLE,Galaxy Watch Active2
P031,P0xSDuYZlN,PHONE,SM-G973N
